TIME,FM1,PE1,PE2,PE3,PE4,TP1,TP2,EPOCH
2020-07-05 21:00:00+00:00,0.29184058,0.9442119,0.9698446,0.9098173,0.75287855,0.12870277,0.72959197,1593982800
2020-07-05 21:30:00+00:00,0.29038382,0.94797057,0.97145903,0.91357595,0.75374126,0.11757235,0.72390527,1593984600
2020-07-05 22:00:00+00:00,0.27945802,0.9441379,0.9689942,0.91251606,0.7531867,0.11124238,0.72067124,1593986400
2020-07-05 22:30:00+00:00,0.28892702,0.9503366,0.9762528,0.9159912,0.7566987,0.102464244,0.71618634,1593988200
2020-07-05 23:00:00+00:00,0.29961005,0.9502257,0.97574747,0.9161884,0.75656325,0.093201205,0.71145374,1593990000
2020-07-05 23:30:00+00:00,0.2963323,0.94583863,0.97476155,0.91490686,0.7560704,0.09090909,0.7102827,1593991800
2020-07-06 00:00:00+00:00,0.2741165,0.9464547,0.97091264,0.9119636,0.7520776,0.091887996,0.6182328,1593993600
2020-07-06 00:30:00+00:00,0.2799436,0.94694775,0.97242016,0.9111111,0.7512149,0.08630336,0.6755297,1593995400
2020-07-06 01:00:00+00:00,0.2957051,0.9515074,0.9768566,0.9143769,0.75538015,0.08063689,0.6923239,1593997200
2020-07-06 01:30:00+00:00,0.29681793,0.9487653,0.9740469,0.9163979,0.7572041,0.086418934,0.6935175,1593999000
2020-07-06 02:00:00+00:00,0.27824405,0.9450006,0.9707771,0.91036975,0.7507959,0.09123013,0.6279574,1594000800
2020-07-06 02:30:00+00:00,0.28504232,0.94399005,0.9695056,0.9096941,0.7503522,0.076149076,0.6413858,1594002600
2020-07-06 03:00:00+00:00,0.29354015,0.9430411,0.96453315,0.90844923,0.7478382,0.05949766,0.6915952,1594004400
2020-07-06 03:30:00+00:00,0.27628142,0.948562,0.9744411,0.91252834,0.75151056,0.050911643,0.6093983,1594006100
2020-07-06 04:00:00+00:00,0.27581608,0.9439757,0.9686615,0.90822953,0.7481361,0.046438996,0.67206913,1594008000
2020-07-06 04:30:00+00:00,0.28751075,0.9456043,0.9686821,0.9115055,0.7502536,0.039964244,0.63387734,1594009900
2020-07-06 05:00:00+00:00,0.28759167,0.94290763,0.96519864,0.9088437,0.7491979,0.04917821,0.64506495,1594011600
2020-07-06 05:30:00+00:00,0.27798098,0.94166094,0.9661126,0.9081824,0.7467374,0.06662646,0.68261576,1594013400
